edge_u,edge_v,cycle_01,cycle_02,cycle_03,cycle_04,cycle_05,cycle_07,cycle_08,cycle_10,cycle_11,cycle_12,signature,ones
0,1,1,1,1,1,1,1,1,0,0,0,1111111000,7
0,2,1,1,1,1,0,0,0,1,1,1,1111000111,7
0,3,0,0,0,0,1,1,1,1,1,1,0000111111,6
1,4,1,1,0,0,1,0,0,1,1,1,1100100111,6
1,5,0,0,1,1,0,1,1,1,1,1,0011011111,7
2,5,1,1,0,0,1,1,1,1,0,0,1100111100,6
2,6,0,0,1,1,1,1,1,0,1,1,0011111011,7
3,6,1,1,1,1,1,0,0,1,0,0,1111100100,6
3,7,1,1,1,1,0,1,1,0,1,1,1111011011,8
4,8,1,0,1,1,1,1,1,0,1,0,1011111010,7
4,9,0,1,1,1,0,1,1,1,0,1,0111011101,7
5,10,1,1,1,1,1,0,0,0,1,1,1111100011,7
6,10,1,1,0,0,0,1,1,1,1,1,1100011111,7
7,8,0,1,1,0,1,1,0,1,0,1,0110110101,6
7,11,1,0,0,1,1,0,1,1,1,0,1001101110,6
8,12,1,1,0,1,0,0,1,1,1,1,1101001111,7
9,12,1,0,1,0,1,1,0,1,1,0,1010110110,6
9,13,1,1,0,1,1,0,1,0,1,1,1101101011,7
10,13,0,0,1,1,1,1,1,1,0,0,0011111100,6
11,12,0,1,1,1,1,1,1,0,0,1,0111111001,7
11,13,1,1,1,0,0,1,0,1,1,1,1110010111,7
